Contract,Error Name,Selector
interest\JumpRateModelV4.sol,JumpRateModelV4_MultiplierNotValid(),0xdda62321
interfaces\external\across\IAcrossSpokePoolV3.sol,DisabledRoute(),0x2a58c4f3
interfaces\external\across\IAcrossSpokePoolV3.sol,InvalidQuoteTimestamp(),0xf722177f
interfaces\external\across\IAcrossSpokePoolV3.sol,InvalidFillDeadline(),0x582e3889
interfaces\external\across\IAcrossSpokePoolV3.sol,InvalidExclusiveRelayer(),0x495d907f
interfaces\external\across\IAcrossSpokePoolV3.sol,MsgValueDoesNotMatchInputAmount(),0x6452a35d
interfaces\external\across\IAcrossSpokePoolV3.sol,NotExclusiveRelayer(),0xc3a9b9d0
interfaces\external\across\IAcrossSpokePoolV3.sol,NoSlowFillsInExclusivityWindow(),0x09deb9ec
interfaces\external\across\IAcrossSpokePoolV3.sol,RelayFilled(),0x8f260c60
interfaces\external\across\IAcrossSpokePoolV3.sol,InvalidSlowFillRequest(),0x012f9e44
interfaces\external\across\IAcrossSpokePoolV3.sol,ExpiredFillDeadline(),0xd642b7d9
interfaces\external\across\IAcrossSpokePoolV3.sol,InvalidMerkleProof(),0xb05e92fa
interfaces\external\across\IAcrossSpokePoolV3.sol,InvalidChainId(),0x7a47c9a2
interfaces\external\across\IAcrossSpokePoolV3.sol,InvalidMerkleLeaf(),0xcd298b38
interfaces\external\across\IAcrossSpokePoolV3.sol,ClaimedMerkleLeaf(),0x954476d9
interfaces\external\across\IAcrossSpokePoolV3.sol,InvalidPayoutAdjustmentPct(),0xa693f051
interfaces\external\across\IAcrossSpokePoolV3.sol,WrongERC7683OrderId(),0x1e191e8e
interfaces\external\across\IAcrossSpokePoolV3.sol,LowLevelCallFailed(bytesdata),0x5ab5dfae
interfaces\external\layerzero\v2\ILayerZeroOFT.sol,InvalidLocalDecimals(),0x1e9714b0
interfaces\external\layerzero\v2\ILayerZeroOFT.sol,SlippageExceeded(uint256amountLD,uint256minAmountLD),0x72d5a2f9
interfaces\ImErc20Host.sol,mErc20Host_ProofGenerationInputNotValid(),0x80e73bca
interfaces\ImErc20Host.sol,mErc20Host_DstChainNotValid(),0x2b25fce3
